Gene Symbol	# Mutated Tumor Samples**	Ocogene score* 	Tumor Suppressor Gene score* 	Classification*	Mutation Type	Core pathway	Process	Gene Name
BCOR	21	0%	70%	TSG	subtle	Transcriptional Regulation	Cell Fate	BCL6 co-repressor
BRAF	24288	100%	0%	Oncogene	subtle	RAS	Cell Survival	v-raf murine sarcoma viral oncogene homolog B1
BRCA1	62	0%	69%	TSG	subtle	DNA Damage Control	Genome Maintenance	"breast cancer 1, early onset"
BRCA2	67	0%	30%	TSG	subtle	DNA Damage Control	Genome Maintenance	"breast cancer 2, early onset"
CARD11	74	30%	1%	Oncogene	subtle	Cell Cycle/Apoptosis	Cell Survival	"caspase recruitment domain family, member 11"
CASP8	21	0%	52%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	"caspase 8, apoptosis-related cysteine peptidase"
CBL	168	57%	9%	Oncogene	subtle	PI3K; RAS	Cell Survival	Cas-Br-M (murine) ecotropic retroviral transforming sequence
CDC73	45	4%	78%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
CDH1	200	14%	52%	TSG	subtle	APC	Cell Fate	"cadherin 1, type 1, E-cadherin (epithelial)"
CDKN2A	968	32%	49%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
CEBPA	448	30%	54%	TSG	subtle	PI3K; RAS; MAPK	Cell Survival	"CCAAT/enhancer binding protein (C/EBP), alpha"
CIC	47	12%	31%	TSG	subtle	RAS	Cell Survival	capicua homolog (Drosophila)
CREBBP	151	24%	34%	TSG	subtle	Chromatin Modification; Transcriptional Regulation	Cell Fate	CREB binding protein
CRLF2	10	100%	0%	Oncogene	subtle	STAT	Cell Survival	cytokine receptor-like factor 2
CSF1R	48	50%	15%	Oncogene	subtle	PI3K; RAS	Cell Survival	colony stimulating factor 1 receptor
CTNNB1	3262	92%	1%	Oncogene	subtle	APC	Cell Fate	"catenin (cadherin-associated protein), beta 1, 88kDa"
CYLD	26	0%	85%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	cylindromatosis (turban tumor syndrome)
DAXX	28	7%	61%	TSG	subtle	Chromatin Modification; Cell Cycle/Apoptosis	Cell Fate	death-domain associated protein
DNMT1	22	36%	5%	Oncogene	subtle	Chromatin Modification	Cell Fate	DNA (cytosine-5-)-methyltransferase 1
DNMT3A	788	74%	12%	Oncogene	subtle	Chromatin Modification	Cell Fate	DNA (cytosine-5-)-methyltransferase 3 alpha
EGFR	10628	97%	0%	Oncogene	subtle	PI3K; RAS	Cell Survival	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"
EP300	88	12%	32%	TSG	subtle	Chromatin Modification; APC; TGF-b; NOTCH	Cell Survival/Fate	E1A binding protein p300
ERBB2	164	67%	3%	Oncogene	subtle	PI3K; RAS	Cell Survival	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
EZH2	276	67%	12%	Oncogene	subtle	Chromatin Modification	Cell Fate	enhancer of zeste homolog 2 (Drosophila)
FAM123B	55	4%	66%	TSG	subtle	APC	Cell Fate	family with sequence similarity 123B
FBXW7	312	55%	18%	TSG	subtle	NOTCH	Cell Fate	F-box and WD repeat domain containing 7
FGFR2	121	49%	6%	Oncogene	subtle	PI3K; RAS ; STAT	Cell Survival	fibroblast growth factor receptor 2
FGFR3	2948	99%	0%	Oncogene	subtle	PI3K; RAS ; STAT	Cell Survival	fibroblast growth factor receptor 3
FLT3	11520	98%	0%	Oncogene	subtle	RAS; PI3K; STAT	Cell Survival	fms-related tyrosine kinase 3
FOXL2	330	100%	0%	Oncogene	subtle	TGF-b 	Cell Fate	forkhead box L2
FUBP1	9	0%	70%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	far upstream element (FUSE) binding protein 1
GATA1	203	8%	84%	TSG	subtle	"NOTCH, TGF-b "	Cell Fate	GATA binding protein 1 (globin transcription factor 1)
GATA2	45	53%	4%	Oncogene	subtle	"NOTCH, TGF-b "	Cell Fate	GATA binding protein 2
GATA3	33	9%	66%	TSG	subtle	Transcriptional Regulation	Cell Fate	GATA binding protein 3
GNA11	110	92%	1%	Oncogene	subtle	PI3K; RAS; MAPK	Cell Survival	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
GNAQ	245	95%	1%	Oncogene	subtle	PI3K;RAS; MAPK	Cell Survival	"guanine nucleotide binding protein (G protein), q polypeptide"
GNAS	422	93%	2%	Oncogene	subtle	"APC; PI3K; TGF-b, RAS"	Cell Survival/Cell Fate	GNAS complex locus
H3F3A	122	93%	0%	Oncogene	subtle	Chromatin Modification	Cell Fate	"H3 histone, family 3B (H3.3B); H3 histone, family 3A pseudogene; H3 histone, family 3A; similar to H3 histone, family 3B; similar to histone H3.3B"
HIST1H3B	25	60%	0%	Oncogene	subtle	Chromatin Modification	Cell Fate	"histone cluster 1, H3j; histone cluster 1, H3i; histone cluster 1, H3h; histone cluster 1, H3g; histone cluster 1, H3f; histone cluster 1, H3e; histone cluster 1, H3d; histone cluster 1, H3c; histone cluster 1, H3b; histone cluster 1, H3a; histone cluster 1, H2ad; histone cluster 2, H3a; histone cluster 2, H3c; histone cluster 2, H3d"
HNF1A	126	29%	55%	TSG	subtle	APC	Cell Fate	HNF1 homeobox A
HRAS	812	96%	0%	Oncogene	subtle	RAS	Cell Survival	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
IDH1	4509	100%	0%	Oncogene	subtle	Chromatin Modification	Cell Fate	"isocitrate dehydrogenase 1 (NADP+), soluble"
IDH2	1029	99%	0%	Oncogene	subtle	Chromatin Modification	Cell Fate	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"
JAK1	61	26%	18%	Oncogene	subtle	STAT	Cell Survival	Janus kinase 1
JAK2	32692	100%	0%	Oncogene	subtle	STAT	Cell Survival	Janus kinase 2
JAK3	89	60%	6%	Oncogene	subtle	STAT	Cell Survival	Janus kinase 3
KDM5C	26	0%	62%	TSG	subtle	Chromatin Modification	Cell Fate	lysine (K)-specific demethylase 5C
KDM6A	66	0%	72%	TSG	subtle	Chromatin Modification	Cell Fate	lysine (K)-specific demethylase 6A
KIT	4720	90%	0%	Oncogene	subtle	PI3K; RAS; STAT	Cell Survival	similar to Mast/stem cell growth factor receptor precursor (SCFR) (Proto-oncogene tyrosine-protein kinase Kit) (c-kit) (CD117 antigen); v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
KLF4	61	80%	4%	Oncogene	subtle	Transcriptional Regulation; WNT	Cell Fate	Kruppel-like factor 4
KRAS	23261	100%	0%	Oncogene	subtle	RAS	Cell Survival	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
MAP2K1	13	67%	0%	Oncogene	subtle	RAS	Cell Survival	mitogen-activated protein kinase kinase 1
MAP3K1	11	0%	63%	TSG	subtle	RAS; MAPK	Cell Survival	mitogen-activated protein kinase kinase kinase 1
MED12	337	84%	0%	Oncogene	subtle	Cell Cycle/Apoptosis; TGF-b 	Cell Survival	mediator complex subunit 12
MEN1	290	7%	68%	TSG	subtle	Chromatin Modification	Cell Fate	multiple endocrine neoplasia I
MET	159	61%	4%	Oncogene	subtle	PI3K; RAS	Cell Survival	met proto-oncogene (hepatocyte growth factor receptor)
MLH1	61	18%	37%	TSG	subtle	DNA Damage Control	Genome Maintenance	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"
MLL2	165	1%	70%	TSG	subtle	Chromatin Modification	Cell Fate	myeloid/lymphoid or mixed-lineage leukemia 2
MLL3	111	5%	44%	TSG	subtle	Chromatin Modification	Cell Fate	myeloid/lymphoid or mixed-lineage leukemia 3
MPL	531	96%	0%	Oncogene	subtle	STAT	Cell SUrvival	myeloproliferative leukemia virus oncogene
MSH2	37	0%	65%	TSG	subtle	DNA Damage Control	Genome Maintenance	"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)"
MSH6	135	3%	68%	TSG	subtle	DNA Damage Control	Genome Maintenance	mutS homolog 6 (E. coli)
MYD88	134	92%	1%	Oncogene	subtle	Cell Cycle/Apoptosis	Cell Survival	myeloid differentiation primary response gene (88)
NCOR1	35	11%	32%	TSG	subtle	Chromatin Modification	Cell Fate	nuclear receptor co-repressor 1
NF1	362	2%	73%	TSG	subtle	RAS	Cell Survival	neurofibromin 1
NF2	609	4%	89%	TSG	subtle	APC	Cell Fate	neurofibromin 2 (merlin)
NFE2L2	102	74%	1%	Oncogene	subtle	Cell Cycle/Apoptosis	Cell Survival	nuclear factor (erythroid-derived 2)-like 2
NOTCH1	661	44%	27%	TSG	subtle	NOTCH	Cell Fate	"Notch homolog 1, translocation-associated (Drosophila)"
NOTCH2	51	0%	27%	TSG	subtle	NOTCH	Cell Fate	Notch homolog 2 (Drosophila)
NPM1	2471	2%	98%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	"nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
NRAS	2738	99%	0%	Oncogene	subtle	RAS	Cell Survival	neuroblastoma RAS viral (v-ras) oncogene homolog
PAX5	49	42%	26%	TSG	subtle	Chromatin Modification	Cell Fate	paired box 5
PBRM1	171	0%	83%	TSG	subtle	Chromatin Modification	Cell Fate	polybromo 1
PDGFRA	653	84%	1%	Oncogene	subtle	PI3K; RAS	Cell Survival	"platelet-derived growth factor receptor, alpha polypeptide"
PHF6	57	18%	61%	TSG	subtle	Transcriptional Regulation	Cell Fate	PHD finger protein 6
PIK3CA	4560	95%	1%	Oncogene	subtle	PI3K	Cell Survival	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"
PIK3R1	88	14%	37%	TSG	subtle	PI3K	Cell Survival	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"
PPP2R1A	86	85%	2%	Oncogene	subtle	Cell Cycle/Apoptosis	Cell Survival	"protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform"
PRDM1	46	0%	64%	TSG	subtle	Chromatin Modification	Cell Fate	"PR domain containing 1, with ZNF domain"
PTCH1	318	7%	60%	TSG	subtle	HH	Cell Fate	patched homolog 1 (Drosophila)
PTEN	1719	30%	55%	TSG	subtle	PI3K	Cell Survival	phosphatase and tensin homolog; phosphatase and tensin homolog pseudogene 1
PTPN11	410	90%	0%	Oncogene	subtle	RAS	Cell Survival	"protein tyrosine phosphatase, non-receptor type 11; similar to protein tyrosine phosphatase, non-receptor type 11"
RB1	208	4%	80%	TSG	subtle	Cell Cycle/Apoptosis	Cell Survival	retinoblastoma 1
RET	500	86%	1%	Oncogene	subtle	RAS; PI3K 	Cell Survival	ret proto-oncogene
RNF43	27	7%	43%	TSG	subtle	APC	Cell Fate	ring finger protein 43
RUNX1	304	34%	41%	TSG	subtle	Transcriptional Regulation	Cell Fate	runt-related transcription factor 1
SETD2	47	3%	47%	TSG	subtle	Chromatin Modification	Cell Fate	SET domain containing 2
SETBP1	95	25%	4%	Oncogene	subtle	Chromatin Modification; Replication	Cell Fate	SET binding protein 1
SF3B1	516	91%	0%	Oncogene	subtle	Transcriptional Regulation	Cell Fate	"splicing factor 3b, subunit 1, 155kDa"
SMAD2	16	0%	41%	TSG	subtle	TGF-b 	Cell Survival	SMAD family member 2
SMAD4	207	24%	39%	TSG	subtle	TGF-b 	Cell Survival	SMAD family member 4
SMARCA4	68	22%	22%	TSG	subtle	Chromatin Modification	Cell Fate	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
SMARCB1	247	16%	74%	TSG	subtle	Chromatin Modification	Cell Fate	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
SMO	34	51%	3%	Oncogene	subtle	HH	Cell Fate	smoothened homolog (Drosophila)
SOCS1	41	15%	46%	TSG	subtle	STAT	Cell Survival	suppressor of cytokine signaling 1
SOX9	9	0%	70%	TSG	subtle	APC	Cell Survival	SRY (sex determining region Y)-box 9
SPOP	35	66%	3%	Oncogene	subtle	Chromatin Modification; HH	Cell Fate	speckle-type POZ protein
SRSF2	273	95%	2%	Oncogene	subtle	Transcriptional Regulation	Cell Fate	SRSF2 serine/arginine-rich splicing factor 2
STAG2	21	0%	33%	TSG	subtle	DNA Damage Control	Genome Maintenance	stromal antigen 2
STK11	220	24%	52%	TSG	subtle	mTOR	Cell Survival	serine/threonine kinase 11
TET2	864	14%	70%	TSG	subtle	Chromatin Modification	Cell Fate	tet oncogene family member 2
TNFAIP3	136	1%	80%	TSG	subtle	Cell Cycle/Apoptosis; MAPK	Cell Survival	"tumor necrosis factor, alpha-induced protein 3"
TRAF7	123	61%	9%	TSG	subtle	Apoptosis	Cell Survival	TNF receptor-associated factor 7
TP53	14438	73%	20%	TSG	subtle	Cell Cycle/Apoptosis; DNA Damage Control	Cell Survival	tumor protein p53
TSC1	20	0%	45%	TSG	subtle	PI3K	Cell SUrvival	tuberous sclerosis 1
TSHR	301	86%	0%	Oncogene	subtle	PI3K; MAPK	Cell Survival	thyroid stimulating hormone receptor
U2AF1	96	92%	1%	Oncogene	subtle	Transcriptional Regulation	Cell Fate	U2 small nuclear RNA auxiliary factor 1
VHL	1287	27%	60%	TSG	subtle	PI3K; RAS; STAT	Cell Survival	von Hippel-Lindau tumor suppressor
WT1	312	10%	79%	TSG	subtle	Chromatin Modification	Cell Fate	Wilms tumor 1
CCND1	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	cyclin D1
CDKN2C	na	na	na	TSG	Homozygous deletion	Cell Cycle/Apoptosis	Cell Survival	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
IKZF1	na	na	na	TSG	Homozygous deletion	Transcriptional Regulation	Cell Fate	IKAROS family zinc finger 1 (Ikaros)
LMO1	na	na	na	Oncogene	Amplification	Transcriptional Regulation	Cell Fate	LIM domain only 1 (rhombotin 1)
MAP2K4	na	na	na	TSG	Homozygous deletion	 MAPK	Cell Survival	mitogen-activated protein kinase kinase 4
MDM2	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	Mdm2 p53 binding protein homolog (mouse)
MDM4	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	Mdm4 p53 binding protein homolog (mouse)
MYC	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	v-myc myelocytomatosis viral oncogene homolog (avian)
MYCL1	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)"
MYCN	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"
NCOA3	na	na	na	Oncogene	Amplification	Chromatin Modification	Cell Fate	nuclear receptor coactivator 3
NKX2-1	na	na	na	Oncogene	Amplification	PI3K; MAPK	Cell Survival	NK2 homeobox 1
SKP2	na	na	na	Oncogene	Amplification	Cell Cycle/Apoptosis	Cell Survival	S-phase kinase-associated protein 2 (p45)
